epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1574.1,1.29257,2.41024,1.37241,0.57885,0.492,0.47528,0.29577,1.11805,8.04596,1.18055,0.00013635,0.00013635,0.00013635
2,8130.57,1.08368,1.07272,1.1512,0.62452,0.784,0.78943,0.5328,1.02177,5.34037,1.13501,0.000253893,0.000253893,0.000253893
3,9465.36,1.06164,0.94284,1.13587,0.65785,0.80957,0.80209,0.55082,1.05426,3.24739,1.17908,0.000342638,0.000342638,0.000342638
4,10893.6,1.03862,0.86101,1.12836,0.74653,0.7755,0.80912,0.55118,1.0186,2.32001,1.15579,0.000402587,0.000402587,0.000402587
5,12715.5,0.99261,0.83461,1.10171,0.74101,0.80981,0.82679,0.56293,1.09036,1.39762,1.15273,0.000433738,0.000433738,0.000433738
6,14929.6,0.98649,0.78435,1.08902,0.86574,0.80259,0.87488,0.58804,1.06703,0.95503,1.14489,0.000436093,0.000436093,0.000436093
7,16318.7,0.96878,0.73683,1.08784,0.86177,0.84487,0.89119,0.65635,0.96698,0.80654,1.11406,0.000369054,0.000369054,0.000369054
8,18036.4,0.91116,0.68179,1.06258,0.92057,0.84477,0.90071,0.66177,0.93684,0.68689,1.07063,0.000279063,0.000279063,0.000279063
9,19983.1,0.86685,0.61439,1.04299,0.91759,0.87386,0.91317,0.68808,0.92972,0.59429,1.07578,0.000189072,0.000189072,0.000189072
10,21364,0.82403,0.58171,1.02507,0.92138,0.87495,0.91933,0.70898,0.87759,0.56067,1.05907,9.9081e-05,9.9081e-05,9.9081e-05
