epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,641.923,2.04253,10.6977,0.84249,5.22014,2.21095,0.86734,0.93333,0.97167,0.47588,0,0,0,0,1.06292,11.5593,1.00296,2.00261,1.13494,6e-05,6e-05,6e-05
2,1461.06,0.73827,10.2091,0.85254,0.78947,1.26254,0.99396,1,0.995,0.97423,0,0,0,0,0.35168,10.8167,0.94434,0.53244,0.58918,0.000137228,0.000137228,0.000137228
3,2208.28,0.71564,10.3097,0.7652,0.71992,1.25241,0.77778,0.93333,0.92949,0.89622,0,0,0,0,0.34199,11.2035,0.97417,5.49249,0.67172,0.000211288,0.000211288,0.000211288
4,2987.15,0.69441,9.89942,0.73318,0.79952,1.23425,0.5,0.33333,0.46326,0.19079,0,0,0,0,1.86184,11.6562,1.15797,20.2261,2.33273,0.00028218,0.00028218,0.00028218
5,3593.7,0.71758,10.2118,0.69856,0.80285,1.23335,0.00092,0.06667,0.0014,0.00028,0,0,0,0,4.79981,11.5174,0.95466,13.7775,3.77526,0.000349904,0.000349904,0.000349904
6,4196.84,0.64077,10.4809,0.6467,0.5875,1.16989,0,0,0,0,0,0,0,0,5.94817,11.5747,0.80344,109.501,9.78795,0.00041446,0.00041446,0.00041446
7,4943.44,0.69624,9.81341,0.64852,0.64241,1.18222,0.14286,0.4,0.09627,0.0255,0,0,0,0,4.07107,11.5347,0.84461,70.0574,6.73124,0.000475848,0.000475848,0.000475848
8,5572.88,0.85706,10.0119,0.63573,0.73616,1.29425,0.01436,0.2,0.00466,0.00174,0,0,0,0,3.91572,11.8752,14.6201,1134.95,89.9839,0.000534068,0.000534068,0.000534068
9,6236.81,0.82547,10.1129,0.61078,0.73888,1.26942,0,0,0,0,0,0,0,0,6.59962,11.5932,472.304,125568,13172.4,0.00058912,0.00058912,0.00058912
10,6703.18,0.76555,9.86099,0.59242,0.7747,1.21201,0,0,0,0,0,0,0,0,6.61287,11.5229,0.70417,8.7332,5.54963,0.000641004,0.000641004,0.000641004
11,7281.94,0.63912,9.9621,0.55624,0.64177,1.20012,0,0,0,0,0,0,0,0,6.06618,11.3322,0.79389,91424.8,4.73674,0.00068972,0.00068972,0.00068972
12,7956.99,0.68748,10.1326,0.54868,0.66142,1.19502,0,0,0,0,0,0,0,0,6.21689,12,3846.62,2.41206e+06,63725.4,0.000735268,0.000735268,0.000735268
13,8519.34,0.801,9.92886,0.50924,0.73924,1.29354,0,0,0,0,0,0,0,0,6.20578,12,8818.15,6.91006e+06,59079,0.000777648,0.000777648,0.000777648
14,8951.97,0.69088,10.0417,0.52488,0.71271,1.20347,0,0,0,0,0,0,0,0,5.93127,11.9222,426.376,303460,3111.85,0.00081686,0.00081686,0.00081686
15,9471.44,0.60177,9.91259,0.50209,0.60842,1.164,0,0,0,0,0,0,0,0,5.1338,11.6275,0.95054,21969.7,4.72384,0.000852904,0.000852904,0.000852904
16,10340.8,0.66833,9.99136,0.48465,0.63889,1.19393,0,0,0,0,0,0,0,0,5.67097,11.6381,1.09929,781.349,6.90196,0.00088578,0.00088578,0.00088578
17,11001.9,0.67605,10.1941,0.50346,0.61254,1.13869,0,0,0,0,0,0,0,0,5.81007,11.6052,1.167,20393.8,7.785,0.000915488,0.000915488,0.000915488
18,11544.1,0.68109,9.89767,0.48088,0.67515,1.20473,0,0,0,0,0,0,0,0,6.31534,11.591,1.0609,3483.84,14.1199,0.000942028,0.000942028,0.000942028
19,12211.6,0.74346,9.96328,0.48074,0.696,1.234,0.4,0.13333,0.06435,0.0347,0,0,0,0,4.52496,11.5942,3.64181,131.418,248.497,0.0009654,0.0009654,0.0009654
20,12700.6,0.75374,10.0734,0.49374,0.68642,1.20097,0,0,0,0,0,0,0,0,6.10156,11.6451,1.27128,49.0954,10.8966,0.000985604,0.000985604,0.000985604
21,13196,0.67655,9.88937,0.47153,0.62074,1.18846,0.16957,0.13333,0.07105,0.0301,0,0,0,0,3.81947,11.4357,2.29375,76.8688,63.8989,0.00100264,0.00100264,0.00100264
22,13712.4,0.60765,9.73057,0.44517,0.54997,1.15657,0.16832,0.23017,0.18079,0.02891,0,0,0,0,3.50304,10.9532,0.76907,6.90477,3.82565,0.00101651,0.00101651,0.00101651
